=====BubbleSort 1000=====
Benchmark 0: 9595
Benchmark 1: 9584
Benchmark 2: 9601
Benchmark 3: 9583
Benchmark 4: 9570
Benchmark 5: 9614
Benchmark 6: 9644
Benchmark 7: 9616
Benchmark 8: 9627
Benchmark 9: 9638
Media: 9607=====BubbleSort 5000=====
Benchmark 0: 264295
Benchmark 1: 269070
Benchmark 2: 269960
Benchmark 3: 271454
Benchmark 4: 271976
Benchmark 5: 272864
Benchmark 6: 273462
Benchmark 7: 272939
Benchmark 8: 273731
Benchmark 9: 273996
Media: 271374=====BubbleSort 10000=====
Benchmark 0: 1100878
Benchmark 1: 1106933
Benchmark 2: 1117782
Benchmark 3: 1113500
Benchmark 4: 1117438
Benchmark 5: 1119506
Benchmark 6: 1123144
Benchmark 7: 1126803
Benchmark 8: 1128171
Benchmark 9: 1131373
Media: 1118552=====BubbleSort 20000=====
Benchmark 0: 4588566
Benchmark 1: 4624996
Benchmark 2: 4825859
Benchmark 3: 4910850
Benchmark 4: 4933153
Benchmark 5: 4930480
Benchmark 6: 4888268
Benchmark 7: 4884164
Benchmark 8: 4886494
Benchmark 9: 4874697
Media: 4834752=====BubbleSort 30000=====
Benchmark 0: 11001926
Benchmark 1: 10977889
Benchmark 2: 11051752
Benchmark 3: 11090345
Benchmark 4: 11124056
Benchmark 5: 11118005
Benchmark 6: 11130853
Benchmark 7: 11121738
Benchmark 8: 11122819
Benchmark 9: 11125877
Media: 11086526=====BubbleSort 40000=====
Benchmark 0: 19705099
Benchmark 1: 19624429
Benchmark 2: 19716184
Benchmark 3: 19615962
Benchmark 4: 19647255
Benchmark 5: 19493493
Benchmark 6: 19132652
Benchmark 7: 18819465
Benchmark 8: 18874728
Benchmark 9: 18877956
Media: 19350722=====SelectionSort 1000=====
Benchmark 0: 2683
Benchmark 1: 2611
Benchmark 2: 2696
Benchmark 3: 2707
Benchmark 4: 2622
Benchmark 5: 2623
Benchmark 6: 2631
Benchmark 7: 2627
Benchmark 8: 2636
Benchmark 9: 2686
Media: 2652=====SelectionSort 5000=====
Benchmark 0: 63848
Benchmark 1: 65529
Benchmark 2: 63873
Benchmark 3: 63626
Benchmark 4: 63878
Benchmark 5: 63796
Benchmark 6: 63619
Benchmark 7: 63862
Benchmark 8: 63674
Benchmark 9: 65062
Media: 64076=====SelectionSort 10000=====
Benchmark 0: 253266
Benchmark 1: 253010
Benchmark 2: 252750
Benchmark 3: 252815
Benchmark 4: 252803
Benchmark 5: 251984
Benchmark 6: 253221
Benchmark 7: 252565
Benchmark 8: 252754
Benchmark 9: 252351
Media: 252751=====SelectionSort 20000=====
Benchmark 0: 1006434
Benchmark 1: 1006153
Benchmark 2: 1008400
Benchmark 3: 1008533
Benchmark 4: 1008616
Benchmark 5: 1007643
Benchmark 6: 1006853
Benchmark 7: 1007720
Benchmark 8: 1008671
Benchmark 9: 1009521
Media: 1007854=====SelectionSort 30000=====
Benchmark 0: 2268822
Benchmark 1: 2267205
Benchmark 2: 2267422
Benchmark 3: 2264887
Benchmark 4: 2267644
Benchmark 5: 2273337
Benchmark 6: 2274421
Benchmark 7: 2274077
Benchmark 8: 2273890
Benchmark 9: 2274518
Media: 2270622=====SelectionSort 40000=====
Benchmark 0: 4040902
Benchmark 1: 4038443
Benchmark 2: 4042713
Benchmark 3: 4043403
Benchmark 4: 4045954
Benchmark 5: 4047176
Benchmark 6: 4042844
Benchmark 7: 4038950
Benchmark 8: 4042981
Benchmark 9: 4043510
Media: 4042687=====InsertionSort 1000=====
Benchmark 0: 4020
Benchmark 1: 4088
Benchmark 2: 4123
Benchmark 3: 4067
Benchmark 4: 4141
Benchmark 5: 4140
Benchmark 6: 4054
Benchmark 7: 4076
Benchmark 8: 4056
Benchmark 9: 4115
Media: 4088=====InsertionSort 5000=====
Benchmark 0: 105533
Benchmark 1: 105723
Benchmark 2: 105316
Benchmark 3: 104932
Benchmark 4: 105331
Benchmark 5: 105687
Benchmark 6: 105649
Benchmark 7: 105543
Benchmark 8: 104880
Benchmark 9: 105183
Media: 105377=====InsertionSort 10000=====
Benchmark 0: 419882
Benchmark 1: 420602
Benchmark 2: 421402
Benchmark 3: 421410
Benchmark 4: 421435
Benchmark 5: 421795
Benchmark 6: 421534
Benchmark 7: 420556
Benchmark 8: 421130
Benchmark 9: 421384
Media: 421113=====InsertionSort 20000=====
Benchmark 0: 1702043
Benchmark 1: 1703111
Benchmark 2: 1706273
Benchmark 3: 1705557
Benchmark 4: 1706220
Benchmark 5: 1704568
Benchmark 6: 1705974
Benchmark 7: 1704679
Benchmark 8: 1704520
Benchmark 9: 1703094
Media: 1704603=====InsertionSort 30000=====
Benchmark 0: 3806901
Benchmark 1: 3804211
Benchmark 2: 3877526
Benchmark 3: 3832171
Benchmark 4: 3923521
Benchmark 5: 3928119
Benchmark 6: 3936626
Benchmark 7: 4082159
Benchmark 8: 3959916
Benchmark 9: 4019773
Media: 3917092=====InsertionSort 40000=====
Benchmark 0: 7141836
Benchmark 1: 6970333
Benchmark 2: 6946739
Benchmark 3: 6866278
Benchmark 4: 6835980
Benchmark 5: 7068741
Benchmark 6: 7138150
Benchmark 7: 6840412
Benchmark 8: 6830993
Benchmark 9: 6831489
Media: 6947095=====ShellSort 1000=====
Benchmark 0: 426
Benchmark 1: 448
Benchmark 2: 441
Benchmark 3: 439
Benchmark 4: 424
Benchmark 5: 422
Benchmark 6: 423
Benchmark 7: 418
Benchmark 8: 420
Benchmark 9: 426
Media: 428=====ShellSort 5000=====
Benchmark 0: 3103
Benchmark 1: 3096
Benchmark 2: 3099
Benchmark 3: 3112
Benchmark 4: 3099
Benchmark 5: 3094
Benchmark 6: 3083
Benchmark 7: 3098
Benchmark 8: 3111
Benchmark 9: 3108
Media: 3100=====ShellSort 10000=====
